snapshot_date,store_id,store_city,product_id,product_name,category,quantity_on_hand,reorder_level,unit_cost
2023-01-01,STR-MUM-01,Mumbai,P0085,Papad 200g,Groceries,207,10,310.09
2023-01-01,STR-MUM-01,Mumbai,P0129,Deodorant Roll-On,Beauty,119,29,3377.37
2023-01-01,STR-MUM-01,Mumbai,P0090,Almonds 250g,Groceries,65,42,36.23
2023-01-01,STR-MUM-01,Mumbai,P0041,Cargo Shorts,Clothing,242,42,2643.77
2023-01-01,STR-MUM-01,Mumbai,P0141,Yoga Mat 6mm,Sports,222,49,3840.17
2023-01-01,STR-MUM-01,Mumbai,P0175,Dune Frank Herbert,Books,461,26,1258.35
2023-01-01,STR-MUM-01,Mumbai,P0081,Cornflakes 500g,Groceries,362,40,445.32
2023-01-01,STR-MUM-01,Mumbai,P0151,Sports Shoes Running,Sports,6,45,6856.4
2023-01-01,STR-MUM-01,Mumbai,P0082,Muesli 1kg,Groceries,467,40,195.57
2023-01-01,STR-MUM-01,Mumbai,P0027,Cable Organiser Box,Electronics,35,46,3742.25
2023-01-01,STR-MUM-01,Mumbai,P0172,The Lean Startup,Books,118,28,858.65
2023-01-01,STR-MUM-01,Mumbai,P0146,Badminton Racquet Pair,Sports,320,26,1495.45
2023-01-01,STR-MUM-01,Mumbai,P0002,Wireless Earbuds,Electronics,156,33,2050.18
2023-01-01,STR-MUM-01,Mumbai,P0117,Moisturiser SPF 30,Beauty,320,44,1126.59
2023-01-01,STR-MUM-01,Mumbai,P0058,Kids T-Shirt Pack,Clothing,421,14,3481.41
2023-01-01,STR-MUM-01,Mumbai,P0040,Linen Shirt,Clothing,165,24,2475.49
2023-01-01,STR-MUM-01,Mumbai,P0033,Formal Shirt,Clothing,0,50,2020.56
2023-01-01,STR-MUM-01,Mumbai,P0147,Football Size 5,Sports,345,32,3808.79
2023-01-01,STR-MUM-01,Mumbai,P0004,Power Bank 20000mAh,Electronics,149,25,7706.11
2023-01-01,STR-MUM-02,Mumbai,P0028,Mini Projector,Electronics,187,32,3931.95
2023-01-01,STR-MUM-02,Mumbai,P0020,Noise Cancelling Headphones,Electronics,168,39,1332.43
2023-01-01,STR-MUM-02,Mumbai,P0149,Cycling Gloves,Sports,61,15,1735.6
2023-01-01,STR-MUM-02,Mumbai,P0078,Milk Powder 500g,Groceries,98,40,334.69
2023-01-01,STR-MUM-02,Mumbai,P0127,Nail Polish Set 6pc,Beauty,237,49,149.06
2023-01-01,STR-MUM-02,Mumbai,P0132,Facial Serum Vitamin C,Beauty,369,28,264.51
2023-01-01,STR-MUM-02,Mumbai,P0014,Laptop Sleeve 15in,Electronics,224,16,8077.78
2023-01-01,STR-MUM-02,Mumbai,P0113,Table Lamp Ceramic,Home & Kitchen,27,28,4635.79
2023-01-01,STR-MUM-02,Mumbai,P0068,Oats 1kg,Groceries,8,19,27.75
2023-01-01,STR-MUM-02,Mumbai,P0097,Curtains Blackout 2pc,Home & Kitchen,0,41,10473.74
2023-01-01,STR-MUM-02,Mumbai,P0035,Track Pants,Clothing,193,40,1758.27
2023-01-01,STR-MUM-02,Mumbai,P0175,Dune Frank Herbert,Books,54,33,1136.72
2023-01-01,STR-MUM-02,Mumbai,P0131,Hand Cream 75ml,Beauty,70,44,1082.59
2023-01-01,STR-MUM-02,Mumbai,P0110,Iron Steam 1200W,Home & Kitchen,216,25,10179.38
2023-01-01,STR-MUM-02,Mumbai,P0052,Silk Scarf,Clothing,235,29,1152.2
2023-01-01,STR-MUM-02,Mumbai,P0139,Face Scrub 100g,Beauty,0,36,2420.36
2023-01-01,STR-MUM-02,Mumbai,P0005,Smartwatch Band,Electronics,0,17,25000.97
2023-01-01,STR-MUM-02,Mumbai,P0154,Foam Roller 45cm,Sports,113,50,3679.73
2023-01-01,STR-MUM-02,Mumbai,P0186,Nerf Blaster,Toys,277,30,1151.72
2023-01-01,STR-MUM-02,Mumbai,P0086,Jaggery 1kg,Groceries,289,29,158.8
2023-01-01,STR-MUM-02,Mumbai,P0034,Kurta Set,Clothing,68,28,4556.1
2023-01-01,STR-MUM-02,Mumbai,P0123,Face Mask Sheet 5pk,Beauty,101,24,2625.9
2023-01-01,STR-MUM-02,Mumbai,P0194,Card Game UNO,Toys,119,31,2521.5
2023-01-01,STR-MUM-02,Mumbai,P0104,Chopping Board Bamboo,Home & Kitchen,33,39,4883.79
2023-01-01,STR-MUM-02,Mumbai,P0019,Portable Monitor 15in,Electronics,265,20,27498.25
2023-01-01,STR-MUM-02,Mumbai,P0096,Mop Spin Bucket,Home & Kitchen,437,44,4025.43
2023-01-01,STR-MUM-02,Mumbai,P0079,Mixed Dry Fruits 500g,Groceries,290,20,183.06
2023-01-01,STR-MUM-02,Mumbai,P0198,Globe Educational,Toys,309,47,262.6
2023-01-01,STR-MUM-02,Mumbai,P0155,Dumbbells 5kg Pair,Sports,212,50,1100.7
2023-01-01,STR-MUM-02,Mumbai,P0103,Towel Set Bath 4pc,Home & Kitchen,379,11,7244.64
2023-01-01,STR-MUM-02,Mumbai,P0070,Instant Noodles 12pk,Groceries,0,33,188.79
2023-01-01,STR-MUM-02,Mumbai,P0106,Door Mat Coir,Home & Kitchen,470,30,7614.19
2023-01-01,STR-MUM-02,Mumbai,P0174,Educated Tara Westover,Books,493,37,1086.32
2023-01-01,STR-MUM-02,Mumbai,P0138,Lipstick Matte,Beauty,44,39,3037.17
2023-01-01,STR-MUM-02,Mumbai,P0105,Spice Rack 16pc,Home & Kitchen,331,24,2961.92
2023-01-01,STR-MUM-02,Mumbai,P0031,Cotton T-Shirt,Clothing,133,20,3830.23
2023-01-01,STR-MUM-02,Mumbai,P0084,Pickle Mango 500g,Groceries,113,26,618.71
2023-01-01,STR-MUM-02,Mumbai,P0071,Pasta Penne 500g,Groceries,371,46,166.63
2023-01-01,STR-MUM-02,Mumbai,P0117,Moisturiser SPF 30,Beauty,269,11,938.31
2023-01-01,STR-MUM-02,Mumbai,P0067,Honey Organic 500g,Groceries,0,35,145.73
2023-01-01,STR-MUM-03,Mumbai,P0056,Bermuda Shorts,Clothing,170,25,2371.91
2023-01-01,STR-MUM-03,Mumbai,P0010,Mouse Wireless,Electronics,266,16,1976.82
2023-01-01,STR-MUM-03,Mumbai,P0139,Face Scrub 100g,Beauty,282,41,2477.01
2023-01-01,STR-MUM-03,Mumbai,P0022,Ring Light 10in,Electronics,224,41,22328.71
2023-01-01,STR-MUM-03,Mumbai,P0121,Shampoo Anti-Dandruff 300ml,Beauty,162,50,2961.24
2023-01-01,STR-MUM-03,Mumbai,P0122,Conditioner Keratin 200ml,Beauty,332,32,2007.55
2023-01-01,STR-MUM-03,Mumbai,P0173,12 Rules for Life,Books,30,48,672.74
2023-01-01,STR-MUM-03,Mumbai,P0192,Doll House Furniture,Toys,81,50,753.69
2023-01-01,STR-MUM-03,Mumbai,P0188,Chemistry Kit Kids,Toys,211,49,861.69
2023-01-01,STR-MUM-03,Mumbai,P0075,Cumin Seeds 100g,Groceries,254,33,459.27
2023-01-01,STR-MUM-03,Mumbai,P0009,Keyboard Mechanical,Electronics,235,23,17099.83
2023-01-01,STR-MUM-03,Mumbai,P0078,Milk Powder 500g,Groceries,153,27,342.21
2023-01-01,STR-MUM-03,Mumbai,P0068,Oats 1kg,Groceries,113,12,26.52
2023-01-01,STR-MUM-03,Mumbai,P0141,Yoga Mat 6mm,Sports,50,21,3005.95
2023-01-01,STR-MUM-03,Mumbai,P0087,Rock Salt 1kg,Groceries,76,37,731.59
2023-01-01,STR-MUM-03,Mumbai,P0146,Badminton Racquet Pair,Sports,117,24,1511.59
2023-01-01,STR-MUM-03,Mumbai,P0180,Meditations Marcus Aurelius,Books,149,31,613.43
2023-01-01,STR-MUM-03,Mumbai,P0142,Resistance Bands Set,Sports,420,45,3734.64
2023-01-01,STR-MUM-03,Mumbai,P0199,Magic Kit 50 Tricks,Toys,215,17,2740.53
2023-01-01,STR-MUM-03,Mumbai,P0026,Tablet Stand Adjustable,Electronics,322,15,11064.62
2023-01-01,STR-MUM-03,Mumbai,P0144,Water Bottle Gym 750ml,Sports,117,10,6105.65
2023-01-01,STR-MUM-03,Mumbai,P0066,Green Tea 100bags,Groceries,124,37,525.0
2023-01-01,STR-MUM-03,Mumbai,P0181,LEGO Classic 500pc,Toys,230,21,2001.46
2023-01-01,STR-MUM-03,Mumbai,P0086,Jaggery 1kg,Groceries,288,28,150.41
2023-01-01,STR-MUM-03,Mumbai,P0103,Towel Set Bath 4pc,Home & Kitchen,369,50,6352.45
2023-01-01,STR-MUM-03,Mumbai,P0148,Table Tennis Paddle,Sports,244,14,5129.24
2023-01-01,STR-MUM-03,Mumbai,P0147,Football Size 5,Sports,335,20,4079.81
2023-01-01,STR-MUM-03,Mumbai,P0107,Wall Clock Minimalist,Home & Kitchen,280,29,1379.92
2023-01-01,STR-MUM-03,Mumbai,P0096,Mop Spin Bucket,Home & Kitchen,210,25,3607.01
2023-01-01,STR-MUM-03,Mumbai,P0033,Formal Shirt,Clothing,378,26,2178.08
2023-01-01,STR-MUM-03,Mumbai,P0061,Basmati Rice 5kg,Groceries,173,19,642.92
2023-01-01,STR-MUM-03,Mumbai,P0088,Saffron 1g,Groceries,211,17,338.39
2023-01-01,STR-MUM-03,Mumbai,P0151,Sports Shoes Running,Sports,474,26,7123.84
2023-01-01,STR-MUM-03,Mumbai,P0108,Photo Frame Set 5pc,Home & Kitchen,11,45,5025.3
2023-01-01,STR-MUM-03,Mumbai,P0034,Kurta Set,Clothing,464,40,3973.04
2023-01-01,STR-MUM-03,Mumbai,P0052,Silk Scarf,Clothing,190,21,1057.36
2023-01-01,STR-MUM-03,Mumbai,P0182,Rubik's Cube 3x3,Toys,28,12,1902.34
2023-01-01,STR-MUM-03,Mumbai,P0189,Telescope Starter,Toys,84,33,660.6
2023-01-01,STR-MUM-03,Mumbai,P0123,Face Mask Sheet 5pk,Beauty,225,11,2384.33
2023-01-01,STR-MUM-03,Mumbai,P0115,Mixing Bowl Set 3pc,Home & Kitchen,300,26,8566.97
2023-01-01,STR-MUM-04,Mumbai,P0125,Compact Powder,Beauty,495,27,65.83
2023-01-01,STR-MUM-04,Mumbai,P0028,Mini Projector,Electronics,184,25,3975.65
2023-01-01,STR-MUM-04,Mumbai,P0048,Printed Kurti,Clothing,313,33,1314.33
2023-01-01,STR-MUM-04,Mumbai,P0166,Deep Work,Books,314,32,145.34
2023-01-01,STR-MUM-04,Mumbai,P0036,Hoodie Zip-Up,Clothing,258,40,2398.86
2023-01-01,STR-MUM-04,Mumbai,P0178,Grit Angela Duckworth,Books,1,48,716.54
2023-01-01,STR-MUM-04,Mumbai,P0143,Skipping Rope Speed,Sports,98,15,1771.41
2023-01-01,STR-MUM-04,Mumbai,P0014,Laptop Sleeve 15in,Electronics,412,48,8192.39
2023-01-01,STR-MUM-04,Mumbai,P0115,Mixing Bowl Set 3pc,Home & Kitchen,58,25,9749.54
2023-01-01,STR-MUM-04,Mumbai,P0157,Swimming Goggles,Sports,19,40,2527.55
2023-01-01,STR-MUM-04,Mumbai,P0029,Fitness Tracker,Electronics,269,28,31900.77
2023-01-01,STR-MUM-04,Mumbai,P0135,Hair Gel Strong Hold,Beauty,101,39,392.88
2023-01-01,STR-MUM-04,Mumbai,P0074,Turmeric Powder 200g,Groceries,487,16,199.65
2023-01-01,STR-MUM-04,Mumbai,P0176,Harry Potter Box Set,Books,54,15,292.28
2023-01-01,STR-MUM-04,Mumbai,P0153,Sweatband Wrist 2pc,Sports,355,39,3368.03
2023-01-01,STR-MUM-04,Mumbai,P0069,Peanut Butter 400g,Groceries,215,40,200.68
2023-01-01,STR-MUM-04,Mumbai,P0152,Gym Bag Duffle,Sports,16,11,4472.41
2023-01-01,STR-MUM-04,Mumbai,P0003,USB-C Hub,Electronics,389,26,9026.66
2023-01-01,STR-MUM-04,Mumbai,P0190,Toy Kitchen Set,Toys,248,33,1391.38
2023-01-01,STR-MUM-04,Mumbai,P0039,Denim Jacket,Clothing,342,40,3299.42
2023-01-01,STR-MUM-04,Mumbai,P0081,Cornflakes 500g,Groceries,294,28,389.52
2023-01-01,STR-MUM-04,Mumbai,P0131,Hand Cream 75ml,Beauty,335,11,1263.3
2023-01-01,STR-MUM-04,Mumbai,P0194,Card Game UNO,Toys,182,45,2610.95
2023-01-01,STR-MUM-04,Mumbai,P0120,Hair Oil Coconut 200ml,Beauty,131,21,560.33
2023-01-01,STR-MUM-04,Mumbai,P0146,Badminton Racquet Pair,Sports,348,27,1615.32
2023-01-01,STR-MUM-04,Mumbai,P0097,Curtains Blackout 2pc,Home & Kitchen,284,24,9879.21
2023-01-01,STR-MUM-04,Mumbai,P0107,Wall Clock Minimalist,Home & Kitchen,334,14,1378.98
2023-01-01,STR-MUM-04,Mumbai,P0016,Surge Protector 6-Way,Electronics,489,23,18787.64
2023-01-01,STR-MUM-04,Mumbai,P0124,Kajal Waterproof,Beauty,11,37,1851.86
2023-01-01,STR-MUM-04,Mumbai,P0163,Ikigai,Books,325,48,420.09
2023-01-01,STR-MUM-04,Mumbai,P0116,Face Wash Gel 100ml,Beauty,8,48,3132.38
2023-01-01,STR-MUM-04,Mumbai,P0169,Thinking Fast and Slow,Books,245,11,399.36
2023-01-01,STR-MUM-04,Mumbai,P0136,Eyeshadow Palette 12pc,Beauty,63,10,1527.64
2023-01-01,STR-MUM-04,Mumbai,P0091,Non-Stick Pan 24cm,Home & Kitchen,107,15,1100.73
2023-01-01,STR-MUM-04,Mumbai,P0138,Lipstick Matte,Beauty,36,12,2535.92
2023-01-01,STR-MUM-04,Mumbai,P0183,Play-Doh 10pk,Toys,0,46,2614.93
2023-01-01,STR-MUM-04,Mumbai,P0172,The Lean Startup,Books,97,22,939.86
2023-01-01,STR-MUM-04,Mumbai,P0192,Doll House Furniture,Toys,293,13,780.35
2023-01-01,STR-MUM-04,Mumbai,P0064,Sugar 1kg,Groceries,286,47,453.52
2023-01-01,STR-MUM-04,Mumbai,P0020,Noise Cancelling Headphones,Electronics,54,25,1215.09
2023-01-01,STR-MUM-05,Mumbai,P0082,Muesli 1kg,Groceries,465,39,213.39
2023-01-01,STR-MUM-05,Mumbai,P0126,Foundation Liquid 30ml,Beauty,277,21,1022.66
2023-01-01,STR-MUM-05,Mumbai,P0080,Dark Chocolate 200g,Groceries,0,21,154.18
2023-01-01,STR-MUM-05,Mumbai,P0101,Lunch Box 3-Tier,Home & Kitchen,151,16,231.45
2023-01-01,STR-MUM-05,Mumbai,P0005,Smartwatch Band,Electronics,497,15,23204.78
2023-01-01,STR-MUM-05,Mumbai,P0120,Hair Oil Coconut 200ml,Beauty,314,43,671.89
2023-01-01,STR-MUM-05,Mumbai,P0200,Train Set Electric,Toys,378,49,2283.22
2023-01-01,STR-MUM-05,Mumbai,P0172,The Lean Startup,Books,372,36,818.86
2023-01-01,STR-MUM-05,Mumbai,P0113,Table Lamp Ceramic,Home & Kitchen,365,15,5789.57
2023-01-01,STR-MUM-05,Mumbai,P0039,Denim Jacket,Clothing,186,44,3918.0
2023-01-01,STR-MUM-05,Mumbai,P0169,Thinking Fast and Slow,Books,476,43,350.33
2023-01-01,STR-MUM-05,Mumbai,P0199,Magic Kit 50 Tricks,Toys,160,47,2645.78
2023-01-01,STR-MUM-05,Mumbai,P0061,Basmati Rice 5kg,Groceries,43,39,735.51
2023-01-01,STR-MUM-05,Mumbai,P0083,Biscuit Variety Pack,Groceries,315,45,356.78
2023-01-01,STR-MUM-05,Mumbai,P0138,Lipstick Matte,Beauty,480,48,2544.84
2023-01-01,STR-MUM-05,Mumbai,P0143,Skipping Rope Speed,Sports,371,35,1776.14
2023-01-01,STR-MUM-05,Mumbai,P0092,Pressure Cooker 5L,Home & Kitchen,35,26,6849.39
2023-01-01,STR-MUM-05,Mumbai,P0037,Polo T-Shirt,Clothing,448,24,3020.96
2023-01-01,STR-MUM-05,Mumbai,P0003,USB-C Hub,Electronics,182,22,10797.56
2023-01-01,STR-MUM-05,Mumbai,P0023,Car Phone Mount,Electronics,350,47,14102.4
2023-01-01,STR-MUM-05,Mumbai,P0034,Kurta Set,Clothing,171,29,3759.61
2023-01-01,STR-MUM-05,Mumbai,P0007,Webcam HD,Electronics,423,21,33800.23
2023-01-01,STR-MUM-05,Mumbai,P0181,LEGO Classic 500pc,Toys,155,33,1785.85
2023-01-01,STR-MUM-05,Mumbai,P0079,Mixed Dry Fruits 500g,Groceries,47,45,182.94
2023-01-01,STR-MUM-05,Mumbai,P0043,Winter Sweater,Clothing,257,23,979.6
2023-01-01,STR-MUM-05,Mumbai,P0087,Rock Salt 1kg,Groceries,148,16,757.33
2023-01-01,STR-MUM-05,Mumbai,P0068,Oats 1kg,Groceries,338,18,29.9
2023-01-01,STR-MUM-05,Mumbai,P0173,12 Rules for Life,Books,217,14,616.7
2023-01-01,STR-MUM-05,Mumbai,P0089,Cashew Nuts 250g,Groceries,391,24,73.0
2023-01-01,STR-MUM-05,Mumbai,P0009,Keyboard Mechanical,Electronics,53,12,17299.99
2023-01-01,STR-MUM-05,Mumbai,P0060,Dhoti Cotton,Clothing,364,49,1707.68
2023-01-01,STR-MUM-05,Mumbai,P0051,Thermal Innerwear,Clothing,291,46,1608.49
2023-01-01,STR-MUM-05,Mumbai,P0185,Board Game Monopoly,Toys,316,47,1240.17
2023-01-01,STR-MUM-05,Mumbai,P0111,Vacuum Flask 1L,Home & Kitchen,10,29,10158.25
2023-01-01,STR-MUM-05,Mumbai,P0184,Hot Wheels 5 Car Pack,Toys,87,20,339.44
2023-01-01,STR-MUM-05,Mumbai,P0130,Body Lotion 400ml,Beauty,297,19,3118.35
2023-01-01,STR-MUM-05,Mumbai,P0047,Palazzo Pants,Clothing,80,14,667.68
2023-01-01,STR-MUM-05,Mumbai,P0167,Python Crash Course,Books,224,34,345.34
2023-01-01,STR-MUM-05,Mumbai,P0013,Screen Protector,Electronics,352,16,1711.63
2023-01-01,STR-MUM-05,Mumbai,P0128,Perfume EDT 100ml,Beauty,283,34,3114.55
2023-01-01,STR-DEL-01,Delhi,P0152,Gym Bag Duffle,Sports,22,41,4953.56
2023-01-01,STR-DEL-01,Delhi,P0041,Cargo Shorts,Clothing,358,46,2656.33
2023-01-01,STR-DEL-01,Delhi,P0061,Basmati Rice 5kg,Groceries,164,10,761.6
2023-01-01,STR-DEL-01,Delhi,P0166,Deep Work,Books,271,43,171.73
2023-01-01,STR-DEL-01,Delhi,P0159,Exercise Ball 65cm,Sports,10,19,1620.87
2023-01-01,STR-DEL-01,Delhi,P0063,Sunflower Oil 1L,Groceries,152,23,436.85
2023-01-01,STR-DEL-01,Delhi,P0076,Coconut Oil 1L,Groceries,163,48,254.86
2023-01-01,STR-DEL-01,Delhi,P0195,Slime Kit DIY,Toys,425,26,1331.02
2023-01-01,STR-DEL-01,Delhi,P0019,Portable Monitor 15in,Electronics,440,17,28197.76
2023-01-01,STR-DEL-01,Delhi,P0111,Vacuum Flask 1L,Home & Kitchen,460,49,8930.24
2023-01-01,STR-DEL-01,Delhi,P0103,Towel Set Bath 4pc,Home & Kitchen,392,43,6381.63
2023-01-01,STR-DEL-01,Delhi,P0092,Pressure Cooker 5L,Home & Kitchen,315,50,7388.73
2023-01-01,STR-DEL-01,Delhi,P0086,Jaggery 1kg,Groceries,41,48,153.74
2023-01-01,STR-DEL-01,Delhi,P0071,Pasta Penne 500g,Groceries,455,25,135.66
2023-01-01,STR-DEL-01,Delhi,P0069,Peanut Butter 400g,Groceries,267,34,253.61
2023-01-01,STR-DEL-01,Delhi,P0157,Swimming Goggles,Sports,469,49,2335.65
2023-01-01,STR-DEL-01,Delhi,P0035,Track Pants,Clothing,317,46,1893.61
2023-01-01,STR-DEL-01,Delhi,P0153,Sweatband Wrist 2pc,Sports,291,47,2716.96
2023-01-01,STR-DEL-01,Delhi,P0018,Pen Drive 64GB,Electronics,125,19,20267.21
2023-01-01,STR-DEL-01,Delhi,P0070,Instant Noodles 12pk,Groceries,217,14,171.28
2023-01-01,STR-DEL-01,Delhi,P0021,Smart Plug WiFi,Electronics,0,12,29463.08
2023-01-01,STR-DEL-01,Delhi,P0170,The Psychology of Money,Books,127,38,257.82
2023-01-01,STR-DEL-01,Delhi,P0197,Art Supplies Box 80pc,Toys,115,29,1463.88
2023-01-01,STR-DEL-01,Delhi,P0017,Ethernet Cable 5m,Electronics,110,41,7666.09
2023-01-01,STR-DEL-01,Delhi,P0185,Board Game Monopoly,Toys,60,27,1049.27
2023-01-01,STR-DEL-01,Delhi,P0175,Dune Frank Herbert,Books,128,25,1203.46
2023-01-01,STR-DEL-01,Delhi,P0128,Perfume EDT 100ml,Beauty,495,26,3285.71
2023-01-01,STR-DEL-01,Delhi,P0081,Cornflakes 500g,Groceries,500,48,452.04
2023-01-01,STR-DEL-01,Delhi,P0109,Laundry Basket Foldable,Home & Kitchen,429,44,5000.6
2023-01-01,STR-DEL-01,Delhi,P0193,Building Blocks 200pc,Toys,196,15,723.73
2023-01-01,STR-DEL-01,Delhi,P0011,HDMI Cable 2m,Electronics,236,23,8231.35
2023-01-01,STR-DEL-01,Delhi,P0117,Moisturiser SPF 30,Beauty,142,15,1125.26
2023-01-01,STR-DEL-01,Delhi,P0180,Meditations Marcus Aurelius,Books,161,28,687.15
2023-01-01,STR-DEL-01,Delhi,P0190,Toy Kitchen Set,Toys,256,44,1415.95
2023-01-01,STR-DEL-01,Delhi,P0096,Mop Spin Bucket,Home & Kitchen,118,33,4365.15
2023-01-01,STR-DEL-01,Delhi,P0060,Dhoti Cotton,Clothing,223,23,1915.08
2023-01-01,STR-DEL-01,Delhi,P0080,Dark Chocolate 200g,Groceries,449,26,154.39
2023-01-01,STR-DEL-01,Delhi,P0150,Running Armband,Sports,128,32,2373.5
2023-01-01,STR-DEL-01,Delhi,P0169,Thinking Fast and Slow,Books,473,16,386.85
2023-01-01,STR-DEL-01,Delhi,P0034,Kurta Set,Clothing,389,35,4218.64
2023-01-01,STR-DEL-02,Delhi,P0044,Cotton Saree,Clothing,62,47,1315.95
2023-01-01,STR-DEL-02,Delhi,P0145,Cricket Bat English Willow,Sports,444,14,3161.2
2023-01-01,STR-DEL-02,Delhi,P0116,Face Wash Gel 100ml,Beauty,202,46,2776.67
2023-01-01,STR-DEL-02,Delhi,P0190,Toy Kitchen Set,Toys,465,15,1331.67
2023-01-01,STR-DEL-02,Delhi,P0147,Football Size 5,Sports,107,28,4317.17
2023-01-01,STR-DEL-02,Delhi,P0192,Doll House Furniture,Toys,263,29,814.99
2023-01-01,STR-DEL-02,Delhi,P0050,Raincoat Foldable,Clothing,11,16,1562.59
2023-01-01,STR-DEL-02,Delhi,P0073,Black Pepper 100g,Groceries,59,35,547.31
2023-01-01,STR-DEL-02,Delhi,P0060,Dhoti Cotton,Clothing,238,18,1876.95
2023-01-01,STR-DEL-02,Delhi,P0019,Portable Monitor 15in,Electronics,305,10,28742.53
2023-01-01,STR-DEL-02,Delhi,P0127,Nail Polish Set 6pc,Beauty,12,12,141.45
2023-01-01,STR-DEL-02,Delhi,P0115,Mixing Bowl Set 3pc,Home & Kitchen,320,44,10205.64
2023-01-01,STR-DEL-02,Delhi,P0043,Winter Sweater,Clothing,90,46,1027.14
2023-01-01,STR-DEL-02,Delhi,P0112,Cushion Cover Set 5pc,Home & Kitchen,402,10,2465.77
2023-01-01,STR-DEL-02,Delhi,P0085,Papad 200g,Groceries,462,46,276.08
2023-01-01,STR-DEL-02,Delhi,P0069,Peanut Butter 400g,Groceries,208,45,244.66
2023-01-01,STR-DEL-02,Delhi,P0137,Mascara Volumising,Beauty,205,49,325.25
2023-01-01,STR-DEL-02,Delhi,P0124,Kajal Waterproof,Beauty,123,13,1672.27
2023-01-01,STR-DEL-02,Delhi,P0083,Biscuit Variety Pack,Groceries,159,25,446.63
2023-01-01,STR-DEL-02,Delhi,P0188,Chemistry Kit Kids,Toys,478,28,763.72
2023-01-01,STR-DEL-02,Delhi,P0028,Mini Projector,Electronics,423,42,4558.61
2023-01-01,STR-DEL-02,Delhi,P0125,Compact Powder,Beauty,409,31,69.48
2023-01-01,STR-DEL-02,Delhi,P0130,Body Lotion 400ml,Beauty,315,34,3102.39
2023-01-01,STR-DEL-02,Delhi,P0160,Pull-Up Bar Doorway,Sports,180,17,1834.1
2023-01-01,STR-DEL-02,Delhi,P0148,Table Tennis Paddle,Sports,330,32,5149.62
2023-01-01,STR-DEL-02,Delhi,P0173,12 Rules for Life,Books,140,43,683.78
2023-01-01,STR-DEL-02,Delhi,P0106,Door Mat Coir,Home & Kitchen,132,20,6016.08
2023-01-01,STR-DEL-02,Delhi,P0189,Telescope Starter,Toys,238,17,546.39
2023-01-01,STR-DEL-02,Delhi,P0169,Thinking Fast and Slow,Books,263,36,403.72
2023-01-01,STR-DEL-02,Delhi,P0182,Rubik's Cube 3x3,Toys,438,17,1894.59
2023-01-01,STR-DEL-02,Delhi,P0179,Digital Minimalism,Books,117,44,620.94
2023-01-01,STR-DEL-02,Delhi,P0095,Pillow Memory Foam,Home & Kitchen,381,34,776.03
2023-01-01,STR-DEL-02,Delhi,P0156,Protein Shaker 700ml,Sports,411,31,1485.38
2023-01-01,STR-DEL-02,Delhi,P0076,Coconut Oil 1L,Groceries,450,49,269.4
2023-01-01,STR-DEL-02,Delhi,P0184,Hot Wheels 5 Car Pack,Toys,8,44,342.77
2023-01-01,STR-DEL-02,Delhi,P0135,Hair Gel Strong Hold,Beauty,481,17,363.63
2023-01-01,STR-DEL-02,Delhi,P0010,Mouse Wireless,Electronics,246,44,2176.42
