shipment_id,order_id,origin_store,destination_city,ship_date,delivery_date,status,carrier
SHP-000059,WEB-007471,STR-BAN-01,Chennai,2024-08-16,2024-08-25,Delivered,Shadowfax
SHP-000060,WEB-008896,STR-CHE-01,Mumbai,2024-10-20,2024-10-25,Delivered,Shadowfax
SHP-000061,WEB-005888,STR-DEL-03,Bangalore,2024-07-13,2024-07-18,Delivered,India Post
SHP-000062,WEB-002860,STR-LUC-01,Ahmedabad,2024-01-18,2024-01-20,Delivered,DTDC
SHP-000063,WEB-014585,STR-PUN-03,Bangalore,2023-05-04,2023-05-09,Delivered,DTDC
SHP-000064,WEB-003188,STR-BAN-01,Delhi,2024-11-14,2024-11-15,Delivered,Delhivery
SHP-000065,WEB-003300,STR-CHE-04,Pune,2024-04-03,2024-04-05,Delivered,DTDC
SHP-000066,WEB-011058,STR-KOL-02,Jaipur,2023-04-07,2023-04-19,Delivered,India Post
SHP-000067,WEB-000795,STR-HYD-03,Jaipur,2024-11-12,,In Transit,DTDC
SHP-000068,WEB-010536,STR-AHM-03,Bangalore,2023-07-06,2023-07-10,Delivered,XpressBees
SHP-000069,WEB-008931,STR-DEL-02,Pune,2025-01-30,2025-02-01,Delivered,XpressBees
SHP-000070,WEB-005066,STR-HYD-01,Hyderabad,2023-03-28,2023-04-01,Delivered,India Post
SHP-000071,WEB-013478,STR-BAN-01,Pune,2024-10-06,2024-10-08,Delivered,Shadowfax
SHP-000072,WEB-000019,STR-PUN-01,Lucknow,2023-11-21,2023-11-23,Delivered,BlueDart
SHP-000073,WEB-011027,STR-PUN-03,Delhi,2023-01-05,2023-01-09,Delivered,Delhivery
SHP-000074,WEB-013502,STR-JAI-05,Mumbai,2024-04-01,2024-04-03,Delivered,BlueDart
SHP-000075,WEB-012948,STR-AHM-03,Pune,2024-10-09,2024-10-10,Delivered,DTDC
SHP-000076,WEB-003540,STR-PUN-01,Mumbai,2024-10-08,2024-10-13,Delivered,India Post
SHP-000077,WEB-013276,STR-AHM-04,Kolkata,2024-08-31,2024-09-01,Delivered,BlueDart
SHP-000078,WEB-012656,STR-MUM-01,Hyderabad,2023-10-18,2023-10-23,Delivered,Ecom Express
SHP-000079,WEB-010000,STR-MUM-05,Chennai,2025-01-05,2025-01-06,Delivered,Ecom Express
SHP-000080,WEB-000089,STR-CHE-03,Jaipur,2023-07-15,2023-07-19,Delivered,Delhivery
SHP-000081,WEB-003950,STR-PUN-04,Mumbai,2024-11-21,2024-11-22,Delivered,DTDC
SHP-000082,WEB-003525,STR-CHE-03,Kolkata,2023-04-27,2023-05-02,Delivered,Shadowfax
SHP-000083,WEB-007797,STR-HYD-02,Ahmedabad,2023-02-09,2023-02-11,Delivered,BlueDart
SHP-000084,WEB-005099,STR-JAI-02,Chennai,2024-12-10,2024-12-11,Delivered,BlueDart
SHP-000085,WEB-009244,STR-JAI-02,Kolkata,2023-03-17,2023-03-22,Delivered,Delhivery
SHP-000086,WEB-008654,STR-CHE-03,Ahmedabad,2023-07-13,2023-07-18,Delivered,India Post
SHP-000087,WEB-014428,STR-PUN-05,Pune,2024-09-25,2024-09-27,Delivered,India Post
SHP-000088,WEB-011223,STR-PUN-02,Pune,2023-07-17,2023-07-28,Delivered,Ecom Express
SHP-000089,WEB-003378,STR-AHM-04,Kolkata,2023-09-04,2023-09-08,Delivered,India Post
SHP-000090,WEB-008253,STR-MUM-01,Kolkata,2023-12-04,2023-12-08,Delivered,XpressBees
SHP-000091,WEB-004708,STR-LUC-03,Ahmedabad,2024-07-18,2024-07-21,Delivered,India Post
SHP-000092,WEB-002611,STR-AHM-02,Lucknow,2023-12-01,2023-12-02,Delivered,Delhivery
SHP-000093,WEB-012310,STR-MUM-02,Ahmedabad,2024-06-19,2024-06-23,Delivered,India Post
SHP-000094,WEB-009666,STR-HYD-05,Jaipur,2025-01-10,2025-01-22,Delivered,India Post
SHP-000095,WEB-012750,STR-KOL-05,Pune,2024-04-30,2024-05-14,Delivered,BlueDart
SHP-000096,WEB-007621,STR-DEL-03,Lucknow,2024-09-04,2024-09-07,Delivered,India Post
SHP-000097,WEB-000148,STR-LUC-04,Delhi,2024-11-05,2024-11-10,Delivered,Ecom Express
SHP-000098,WEB-004962,STR-MUM-02,Bangalore,2024-02-15,2024-02-16,Delivered,Shadowfax
SHP-000099,WEB-001673,STR-BAN-03,Delhi,2024-02-21,2024-02-22,Delivered,Ecom Express
SHP-000100,WEB-007797,STR-PUN-03,Delhi,2023-02-23,2023-02-28,Delivered,Shadowfax
SHP-000101,WEB-008368,STR-PUN-02,Hyderabad,2024-08-03,2024-08-05,Delivered,India Post
SHP-000102,WEB-010919,STR-MUM-02,Lucknow,2023-02-25,2023-02-27,Delivered,Shadowfax
SHP-000103,WEB-010899,STR-HYD-04,Mumbai,2024-10-11,2024-10-14,Delivered,India Post
SHP-000104,WEB-005006,STR-AHM-04,Chennai,2023-02-21,2023-02-25,Delivered,Shadowfax
SHP-000105,WEB-012378,STR-PUN-04,Hyderabad,2023-07-24,2023-07-29,Delivered,Delhivery
SHP-000106,WEB-013072,STR-PUN-03,Hyderabad,2024-09-06,2024-09-11,Delivered,Delhivery
SHP-000107,WEB-001085,STR-AHM-03,Chennai,2023-08-07,2023-08-20,Delivered,DTDC
SHP-000108,WEB-002975,STR-CHE-03,Delhi,2023-05-05,2023-05-09,Delivered,Delhivery
SHP-000109,WEB-011519,STR-HYD-05,Hyderabad,2024-05-30,2024-06-11,Delivered,India Post
SHP-000110,WEB-004525,STR-MUM-03,Hyderabad,2023-12-23,2024-01-06,Delivered,DTDC
SHP-000111,WEB-004473,STR-CHE-05,Lucknow,2024-04-01,2024-04-06,Delivered,Delhivery
SHP-000112,WEB-010518,STR-MUM-05,Lucknow,2023-11-13,2023-11-17,Delivered,Shadowfax
SHP-000113,WEB-005575,STR-KOL-03,Mumbai,2023-02-01,2023-02-05,Delivered,XpressBees
SHP-000114,WEB-013856,STR-MUM-01,Kolkata,2023-09-11,2023-09-14,Delivered,India Post
SHP-000115,WEB-006442,STR-AHM-02,Pune,2023-10-28,2023-11-01,Delivered,Shadowfax
SHP-000116,WEB-009566,STR-KOL-02,Pune,2024-03-02,2024-03-10,Delivered,Shadowfax
SHP-000117,WEB-009627,STR-PUN-02,Jaipur,2024-01-04,2024-01-06,Delivered,XpressBees
SHP-000118,WEB-005400,STR-MUM-04,Hyderabad,2025-01-18,2025-01-20,Delivered,DTDC
SHP-000119,WEB-003460,STR-KOL-02,Hyderabad,2024-03-09,2024-03-12,Delivered,DTDC
SHP-000120,WEB-014316,STR-KOL-04,Delhi,2024-04-20,2024-04-24,Delivered,Ecom Express
SHP-000121,WEB-014762,STR-KOL-05,Jaipur,2024-12-14,2024-12-17,Delivered,Delhivery
SHP-000122,WEB-010263,STR-HYD-03,Mumbai,2023-09-29,2023-09-30,Delivered,Delhivery
SHP-000123,WEB-005469,STR-HYD-03,Delhi,2023-07-27,2023-07-28,Delivered,Delhivery
SHP-000124,WEB-007797,STR-PUN-05,Jaipur,2024-03-10,2024-03-13,Delivered,Ecom Express
SHP-000125,WEB-008465,STR-HYD-02,Chennai,2024-06-30,2024-07-03,Delivered,BlueDart
SHP-000126,WEB-006754,STR-MUM-04,Hyderabad,2023-11-12,2023-11-14,Delayed,XpressBees
SHP-000127,WEB-006259,STR-AHM-04,Ahmedabad,2023-11-06,2023-11-11,Delivered,Shadowfax
SHP-000128,WEB-010662,STR-DEL-05,Chennai,2024-01-15,2024-01-18,Delivered,Shadowfax
SHP-000129,WEB-000760,STR-PUN-02,Bangalore,2023-09-26,2023-09-27,Delivered,XpressBees
SHP-000130,WEB-013625,STR-AHM-01,Chennai,2024-09-04,2024-09-14,Delivered,DTDC
SHP-000131,WEB-003075,STR-JAI-03,Chennai,2024-08-20,,In Transit,Ecom Express
SHP-000132,WEB-000849,STR-MUM-01,Delhi,2024-09-19,2024-09-22,Delivered,Delhivery
SHP-000133,WEB-006150,STR-LUC-04,Hyderabad,2024-10-26,2024-10-30,Delivered,Delhivery
SHP-000134,WEB-001915,STR-PUN-03,Mumbai,2023-09-21,2023-09-25,Delivered,Delhivery
SHP-000135,WEB-007628,STR-LUC-03,Delhi,2024-02-27,2024-03-02,Delivered,DTDC
SHP-000136,WEB-003906,STR-LUC-05,Pune,2024-06-02,2024-06-03,Delivered,India Post
SHP-000137,WEB-003192,STR-BAN-05,Ahmedabad,2023-07-23,2023-07-24,Delivered,Ecom Express
SHP-000138,WEB-004041,STR-AHM-04,Jaipur,2024-02-08,2024-02-13,Delivered,Delhivery
SHP-000139,WEB-001678,STR-LUC-03,Delhi,2024-10-17,2024-10-21,Delivered,DTDC
SHP-000140,WEB-009354,STR-PUN-03,Hyderabad,2023-06-13,2023-06-17,Delivered,DTDC
SHP-000141,WEB-000275,STR-CHE-04,Jaipur,2023-07-20,2023-07-31,Delivered,Ecom Express
SHP-000142,WEB-003420,STR-HYD-02,Bangalore,2023-03-10,2023-03-14,Delivered,Delhivery
SHP-000143,WEB-004522,STR-KOL-02,Kolkata,2024-01-11,2024-01-14,Delivered,Delhivery
SHP-000144,WEB-000266,STR-CHE-01,Ahmedabad,2023-10-18,2023-10-22,Delivered,XpressBees
SHP-000145,WEB-000182,STR-JAI-05,Delhi,2023-09-05,2023-09-13,Delivered,Delhivery
SHP-000146,WEB-006877,STR-HYD-02,Bangalore,2024-02-20,2024-02-25,Delivered,Shadowfax
SHP-000147,WEB-013363,STR-AHM-01,Delhi,2023-10-11,2023-10-21,Delivered,Delhivery
SHP-000148,WEB-001955,STR-PUN-02,Lucknow,2024-01-05,2024-01-13,Delivered,Shadowfax
SHP-000149,WEB-013680,STR-CHE-01,Kolkata,2024-10-08,2024-10-12,Delivered,XpressBees
SHP-000150,WEB-002102,STR-CHE-05,Delhi,2024-05-20,2024-05-23,Delivered,BlueDart
SHP-000151,WEB-007859,STR-MUM-02,Jaipur,2023-05-01,2023-05-05,Delivered,XpressBees
SHP-000152,WEB-008396,STR-KOL-04,Kolkata,2024-03-14,,In Transit,Delhivery
SHP-000153,WEB-011829,STR-AHM-01,Hyderabad,2024-06-28,2024-07-07,Delivered,Shadowfax
SHP-000154,WEB-001280,STR-CHE-02,Jaipur,2024-07-28,2024-08-02,Delivered,XpressBees
SHP-000155,WEB-006987,STR-KOL-04,Chennai,2024-09-29,2024-10-03,Delivered,XpressBees
SHP-000156,WEB-013556,STR-BAN-03,Mumbai,2023-01-20,2023-01-22,Delivered,BlueDart
SHP-000157,WEB-004759,STR-HYD-01,Hyderabad,2023-09-14,2023-09-28,Delivered,DTDC
SHP-000158,WEB-010650,STR-LUC-04,Ahmedabad,2024-07-19,2024-07-20,Delivered,Ecom Express
SHP-000159,WEB-001087,STR-HYD-01,Hyderabad,2024-08-08,2024-08-12,Delivered,Ecom Express
SHP-000160,WEB-009802,STR-JAI-05,Bangalore,2023-02-07,2023-02-09,Delivered,DTDC
SHP-000161,WEB-013615,STR-PUN-03,Chennai,2025-01-29,2025-02-10,Delivered,BlueDart
SHP-000162,WEB-009822,STR-BAN-01,Bangalore,2023-12-01,2023-12-02,Returned,Ecom Express
SHP-000163,WEB-004368,STR-PUN-02,Jaipur,2024-08-30,2024-09-01,Returned,Ecom Express
SHP-000164,WEB-001719,STR-BAN-05,Lucknow,2023-04-18,2023-04-20,Delivered,BlueDart
SHP-000165,WEB-001317,STR-CHE-02,Chennai,2023-07-10,2023-07-11,Delivered,XpressBees
SHP-000166,WEB-008545,STR-HYD-02,Mumbai,2023-04-11,2023-04-14,Delivered,India Post
SHP-000167,WEB-000370,STR-JAI-03,Lucknow,2025-01-08,2025-01-19,Delivered,Delhivery
SHP-000168,WEB-005554,STR-HYD-03,Kolkata,2024-08-04,2024-08-07,Delayed,Ecom Express
SHP-000169,WEB-014491,STR-MUM-02,Delhi,2024-10-08,2024-10-16,Delivered,Ecom Express
SHP-000170,WEB-002021,STR-CHE-05,Bangalore,2023-05-09,2023-05-12,Delayed,Shadowfax
SHP-000171,WEB-005607,STR-CHE-03,Mumbai,2023-01-02,2023-01-06,Delivered,India Post
SHP-000172,WEB-004265,STR-PUN-04,Chennai,2024-11-02,2024-11-06,Delayed,DTDC
SHP-000173,WEB-002326,STR-CHE-03,Bangalore,2024-07-22,2024-07-25,Delivered,Ecom Express
SHP-000174,WEB-014528,STR-MUM-05,Ahmedabad,2023-03-17,2023-03-19,Delivered,Delhivery
SHP-000175,WEB-010090,STR-HYD-04,Kolkata,2024-07-15,2024-07-16,Delivered,DTDC
SHP-000176,WEB-006028,STR-KOL-04,Delhi,2024-01-21,2024-01-23,Delivered,Ecom Express
SHP-000177,WEB-000419,STR-CHE-04,Bangalore,2024-07-19,2024-07-24,Delivered,XpressBees
SHP-000178,WEB-002761,STR-HYD-02,Jaipur,2023-04-25,2023-05-03,Delivered,DTDC
SHP-000179,WEB-000968,STR-BAN-05,Kolkata,2023-05-19,2023-05-22,Delivered,XpressBees
SHP-000180,WEB-002058,STR-BAN-02,Mumbai,2024-07-08,2024-07-11,Delivered,India Post
SHP-000181,WEB-004920,STR-CHE-02,Delhi,2023-03-22,2023-03-26,Delivered,DTDC
SHP-000182,WEB-008716,STR-MUM-03,Hyderabad,2023-05-16,2023-05-20,Delivered,XpressBees
SHP-000183,WEB-000448,STR-HYD-02,Lucknow,2024-09-11,2024-09-12,Returned,Shadowfax
SHP-000184,WEB-001713,STR-KOL-01,Jaipur,2024-08-03,2024-08-05,Delivered,BlueDart
SHP-000185,WEB-001234,STR-JAI-01,Delhi,2023-02-19,2023-02-27,Delivered,Delhivery
SHP-000186,WEB-000267,STR-DEL-03,Chennai,2023-05-09,2023-05-14,Delivered,XpressBees
SHP-000187,WEB-011470,STR-MUM-01,Lucknow,2023-07-06,,In Transit,Delhivery
SHP-000188,WEB-003507,STR-HYD-01,Pune,2025-01-11,2025-01-15,Delivered,Ecom Express
SHP-000189,WEB-004609,STR-PUN-05,Jaipur,2024-12-25,2024-12-28,Delivered,India Post
SHP-000190,WEB-000073,STR-PUN-05,Delhi,2023-11-02,2023-11-13,Delivered,India Post
SHP-000191,WEB-004483,STR-PUN-05,Lucknow,2023-09-19,2023-09-20,Delivered,XpressBees
SHP-000192,WEB-004482,STR-AHM-04,Bangalore,2023-08-17,2023-08-21,Delivered,Shadowfax
SHP-000193,WEB-002542,STR-PUN-05,Pune,2023-06-09,2023-06-10,Delivered,Delhivery
SHP-000194,WEB-003584,STR-CHE-02,Kolkata,2023-10-13,,In Transit,XpressBees
SHP-000195,WEB-011456,STR-JAI-04,Delhi,2023-07-19,2023-07-21,Delivered,Ecom Express
SHP-000196,WEB-005045,STR-CHE-05,Ahmedabad,2024-10-25,,In Transit,India Post
SHP-000197,WEB-013178,STR-CHE-02,Lucknow,2024-03-21,2024-03-24,Delivered,DTDC
SHP-000198,WEB-004520,STR-BAN-03,Bangalore,2023-02-15,2023-02-18,Delivered,XpressBees
SHP-000199,WEB-011328,STR-CHE-03,Kolkata,2024-09-26,2024-09-30,Delivered,BlueDart
SHP-000200,WEB-001239,STR-AHM-02,Mumbai,2024-06-06,2024-06-10,Delivered,BlueDart
SHP-000201,WEB-005528,STR-CHE-04,Ahmedabad,2024-02-07,2024-02-08,Delivered,XpressBees
SHP-000202,WEB-006733,STR-AHM-03,Chennai,2023-10-26,2023-10-30,Delivered,Delhivery
SHP-000203,WEB-008145,STR-HYD-02,Ahmedabad,2024-04-13,2024-04-25,Delivered,India Post
SHP-000204,WEB-011287,STR-LUC-05,Ahmedabad,2023-12-14,2023-12-17,Delivered,Shadowfax
SHP-000205,WEB-007864,STR-JAI-04,Kolkata,2023-05-15,2023-05-16,Delayed,Delhivery
SHP-000206,WEB-005632,STR-HYD-02,Bangalore,2023-02-17,,In Transit,DTDC
SHP-000207,WEB-001213,STR-CHE-03,Mumbai,2024-08-26,2024-08-30,Delivered,India Post
SHP-000208,WEB-010210,STR-HYD-01,Lucknow,2024-01-25,2024-01-30,Delayed,BlueDart
SHP-000209,WEB-004411,STR-JAI-04,Bangalore,2024-03-14,2024-03-18,Delivered,Shadowfax
SHP-000210,WEB-011659,STR-PUN-04,Pune,2024-10-31,2024-11-02,Delivered,India Post
SHP-000211,WEB-009982,STR-AHM-03,Ahmedabad,2024-08-23,2024-08-28,Delivered,India Post
SHP-000212,WEB-002897,STR-MUM-03,Mumbai,2024-12-07,2024-12-12,Delivered,DTDC
SHP-000213,WEB-009613,STR-PUN-02,Kolkata,2023-11-26,2023-11-29,Delivered,XpressBees
SHP-000214,WEB-001246,STR-CHE-02,Hyderabad,2023-05-16,2023-05-18,Delivered,Delhivery
SHP-000215,WEB-005001,STR-DEL-05,Delhi,2024-07-27,2024-08-01,Delivered,DTDC
SHP-000216,WEB-006669,STR-MUM-03,Hyderabad,2024-05-15,2024-05-16,Delivered,Ecom Express
SHP-000217,WEB-006343,STR-HYD-03,Ahmedabad,2024-12-19,2024-12-22,Delivered,BlueDart
SHP-000218,WEB-000180,STR-LUC-02,Bangalore,2024-10-16,2024-10-20,Delivered,Shadowfax
SHP-000219,WEB-001265,STR-JAI-02,Chennai,2023-11-05,2023-11-10,Delivered,BlueDart
SHP-000220,WEB-003515,STR-HYD-05,Ahmedabad,2023-08-03,2023-08-04,Delivered,BlueDart
SHP-000221,WEB-004944,STR-BAN-01,Bangalore,2024-01-02,2024-01-04,Delivered,Delhivery
SHP-000222,WEB-009464,STR-JAI-01,Ahmedabad,2024-03-26,2024-03-28,Delivered,DTDC
SHP-000223,WEB-004945,STR-AHM-03,Delhi,2024-10-07,2024-10-09,Delayed,India Post
SHP-000224,WEB-006014,STR-PUN-02,Delhi,2023-03-27,2023-03-28,Delivered,DTDC
SHP-000225,WEB-000840,STR-JAI-01,Jaipur,2023-12-19,2023-12-21,Delivered,India Post
SHP-000226,WEB-007466,STR-CHE-02,Pune,2024-05-03,2024-05-12,Delivered,BlueDart
SHP-000227,WEB-013610,STR-JAI-01,Bangalore,2024-03-30,2024-04-02,Delivered,Delhivery
SHP-000228,WEB-004393,STR-KOL-04,Lucknow,2024-08-02,2024-08-03,Delivered,XpressBees
SHP-000229,WEB-001727,STR-AHM-04,Pune,2024-08-19,2024-08-21,Delivered,India Post
SHP-000230,WEB-004054,STR-MUM-05,Jaipur,2024-01-07,2024-01-14,Delivered,Ecom Express
SHP-000231,WEB-002813,STR-JAI-04,Hyderabad,2024-04-20,2024-04-23,Delivered,India Post
SHP-000232,WEB-008545,STR-LUC-02,Bangalore,2023-08-23,2023-08-27,Delivered,Ecom Express
SHP-000233,WEB-011145,STR-JAI-02,Hyderabad,2024-07-22,2024-08-05,Delivered,Delhivery
SHP-000234,WEB-009335,STR-JAI-03,Hyderabad,2024-02-28,2024-03-02,Delivered,BlueDart
SHP-000235,WEB-004207,STR-CHE-05,Delhi,2024-09-14,2024-09-16,Delivered,DTDC
SHP-000236,WEB-003768,STR-BAN-02,Chennai,2024-12-15,2024-12-20,Delivered,BlueDart
SHP-000237,WEB-006517,STR-CHE-03,Delhi,2024-01-26,2024-01-29,Delivered,Shadowfax
SHP-000238,WEB-014870,STR-LUC-01,Kolkata,2024-10-26,2024-10-31,Delivered,XpressBees
SHP-000239,WEB-006682,STR-PUN-05,Hyderabad,2023-05-14,2023-05-18,Delivered,Delhivery
SHP-000240,WEB-002799,STR-BAN-01,Chennai,2023-11-20,2023-11-24,Delivered,India Post
SHP-000241,WEB-001592,STR-JAI-05,Hyderabad,2024-03-09,2024-03-13,Delivered,Ecom Express
SHP-000242,WEB-008428,STR-BAN-05,Jaipur,2023-03-08,2023-03-13,Delivered,Shadowfax
SHP-000243,WEB-000420,STR-KOL-04,Chennai,2023-01-08,2023-01-09,Delivered,XpressBees
SHP-000244,WEB-009357,STR-PUN-01,Chennai,2024-02-04,2024-02-16,Delivered,India Post
SHP-000245,WEB-012489,STR-KOL-03,Chennai,2023-07-11,2023-07-15,Delivered,Ecom Express
SHP-000246,WEB-014554,STR-CHE-04,Kolkata,2023-11-23,2023-12-01,Delivered,DTDC
SHP-000247,WEB-013032,STR-KOL-02,Ahmedabad,2024-08-22,2024-09-02,Delivered,XpressBees
SHP-000248,WEB-003082,STR-HYD-03,Delhi,2023-07-08,2023-07-09,Delivered,Delhivery
SHP-000249,WEB-004079,STR-PUN-04,Hyderabad,2023-07-02,2023-07-07,Delivered,Ecom Express
SHP-000250,WEB-013459,STR-AHM-01,Bangalore,2023-10-19,,In Transit,India Post
SHP-000251,WEB-007758,STR-HYD-03,Lucknow,2023-12-14,2023-12-17,Delivered,India Post
SHP-000252,WEB-012870,STR-DEL-04,Delhi,2024-08-24,2024-08-25,Delivered,BlueDart
SHP-000253,WEB-005879,STR-KOL-05,Kolkata,2024-07-03,2024-07-04,Delivered,Ecom Express
SHP-000254,WEB-001277,STR-BAN-03,Mumbai,2023-07-13,2023-07-16,Delivered,XpressBees
SHP-000255,WEB-009802,STR-AHM-05,Kolkata,2024-08-14,2024-08-17,Delivered,India Post
SHP-000256,WEB-010497,STR-JAI-04,Chennai,2024-08-15,2024-08-17,Delivered,DTDC
SHP-000257,WEB-003253,STR-DEL-03,Pune,2024-05-27,2024-05-30,Delivered,Delhivery
SHP-000258,WEB-000325,STR-KOL-02,Jaipur,2024-11-27,2024-12-01,Delivered,XpressBees
SHP-000259,WEB-011509,STR-MUM-01,Kolkata,2023-05-16,2023-05-20,Delivered,India Post
SHP-000260,WEB-004875,STR-PUN-03,Jaipur,2023-06-12,2023-06-13,Delayed,Delhivery
